INSTITUTE	SITE_ID	SITE_NAME	WILDCARD_ID	INVENTORY_TYPE	INVENTORY_YEAR	NO_PLOTS	CIRCLE_NO	CIRCLE_RADIUS	CIRCLE_AZIMUTH	CIRCLE_DISTANCE	POM_MARK	STANDING_ALIVE_THRESHOLD	STANDING_DEAD_THRESHOLD	LYING_ALIVE_THRESHOLD	LYING_DEAD_THRESHOLD	SPECIES_POOL	LIS_CWD	BOUNDARY	STEM_COORD_REF_POINT	EPSG_CODE	OTHER	FOREST_TYPE	YEAR_ABANDONMENT	SOIL_CLASS
NW-FVA	06-011	Hegbach	\N	SPI	1988	20	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-011	Hegbach	\N	SPI	2019	6	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-011	Hegbach	\N	SPI	2019	20	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-013	Kreuzberg	\N	SPI	1990	14	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-013	Kreuzberg	\N	SPI	1990	34	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-013	Kreuzberg	\N	SPI	2010	14	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-013	Kreuzberg	\N	SPI	2010	34	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-014	Kniebrecht	\N	SPI	1993	3	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-014	Kniebrecht	\N	SPI	1993	1	1	12.62	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-014	Kniebrecht	\N	SPI	1993	25	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-014	Kniebrecht	\N	SPI	2018	3	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-014	Kniebrecht	\N	SPI	2018	23	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-015	Schlossberg	\N	SPI	1989	13	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-015	Schlossberg	\N	SPI	2018	13	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-016	Zellhaeuser Duene	\N	SPI	1991	19	1	12.62	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-016	Zellhaeuser Duene	\N	SPI	2015	19	1	12.62	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-017	Zackenbruch	\N	SPI	1995	18	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-017	Zackenbruch	\N	SPI	2015	18	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-020	Karlswoerth	\N	SPI	1992	1	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-020	Karlswoerth	\N	SPI	1992	44	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-020	Karlswoerth	\N	SPI	2010	1	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-020	Karlswoerth	\N	SPI	2010	44	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-023	Hohehardt und Geiershoeh/Rothebuche	\N	SPI	1992	6	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-023	Hohehardt und Geiershoeh/Rothebuche	\N	SPI	1992	45	1	12.62	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-023	Hohehardt und Geiershoeh/Rothebuche	\N	SPI	2016	6	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-023	Hohehardt und Geiershoeh/Rothebuche	\N	SPI	2016	45	1	12.62	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-024	Eichberg	\N	SPI	1996	11	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-024	Eichberg	\N	SPI	1996	10	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-024	Eichberg	\N	SPI	2014	11	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-024	Eichberg	\N	SPI	2014	10	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-025	Kinzigaue	\N	SPI	1994	1	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-025	Kinzigaue	\N	SPI	1994	16	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-025	Kinzigaue	\N	SPI	2008	1	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-025	Kinzigaue	\N	SPI	2008	16	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-026	Hundsrueck	\N	SPI	1994	21	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-026	Hundsrueck	\N	SPI	2010	21	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-027	Weserhaenge	\N	SPI	2001	11	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-027	Weserhaenge	\N	SPI	2001	25	1	12.62	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-027	Weserhaenge	\N	SPI	2013	11	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-027	Weserhaenge	\N	SPI	2013	27	1	12.62	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-028	Stirnberg	\N	SPI	1999	39	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-028	Stirnberg	\N	SPI	1999	61	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-028	Stirnberg	\N	SPI	2012	36	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-028	Stirnberg	\N	SPI	2012	61	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-031	Langenstuettig	\N	SPI	2000	7	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-031	Langenstuettig	\N	SPI	2000	23	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
