SITE_ID	INSTITUTE	SITE_NAME	WILDCARD_ID	INVENTORY_TYPE	INVENTORY_YEAR	NO_PLOTS	CIRCLE_NO	CIRCLE_RADIUS	CIRCLE_AZIMUTH	CIRCLE_DISTANCE	POM_MARK	STANDING_ALIVE_THRESHOLD	STANDING_DEAD_THRESHOLD	LYING_ALIVE_THRESHOLD	LYING_DEAD_THRESHOLD	SPECIES_POOL	LIS_CWD	BOUNDARY	STEM_COORD_REF_POINT	EPSG_CODE	OTHER	FOREST_TYPE	YEAR_ABANDONMENT	SOIL_CLASS	HIS	GEOM
06-024	NW-FVA	Eichberg	\N	SPI	1996	10	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1990	/N	N	\N
06-024	NW-FVA	Eichberg	\N	SPI	2014	11	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1990	/N	N	\N
06-024	NW-FVA	Eichberg	\N	SPI	2014	10	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1990	/N	N	\N
06-025	NW-FVA	Kinzigaue	\N	SPI	1994	1	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1988	/N	N	\N
06-025	NW-FVA	Kinzigaue	\N	SPI	1994	16	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1988	/N	N	\N
06-025	NW-FVA	Kinzigaue	\N	SPI	2008	1	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1988	/N	N	\N
06-025	NW-FVA	Kinzigaue	\N	SPI	2008	16	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1988	/N	N	\N
06-026	NW-FVA	Hundsrueck	\N	SPI	1994	21	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1988	/N	Y	\N
06-026	NW-FVA	Hundsrueck	\N	SPI	2010	21	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1988	/N	Y	\N
06-027	NW-FVA	Weserhaenge	\N	SPI	2001	11	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1992	/N	Y	\N
06-027	NW-FVA	Weserhaenge	\N	SPI	2001	25	1	12.62	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1992	/N	Y	\N
06-027	NW-FVA	Weserhaenge	\N	SPI	2013	11	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1992	/N	Y	\N
06-027	NW-FVA	Weserhaenge	\N	SPI	2013	27	1	12.62	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1992	/N	Y	\N
06-028	NW-FVA	Stirnberg	\N	SPI	1999	39	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1992	/N	N	\N
06-028	NW-FVA	Stirnberg	\N	SPI	1999	61	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1992	/N	N	\N
06-028	NW-FVA	Stirnberg	\N	SPI	2012	36	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1992	/N	N	\N
06-028	NW-FVA	Stirnberg	\N	SPI	2012	61	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1992	/N	N	\N
06-031	NW-FVA	Langenstuettig	\N	SPI	2000	7	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1992	/N	N	\N
06-031	NW-FVA	Langenstuettig	\N	SPI	2000	23	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1992	/N	N	\N
06-031	NW-FVA	Langenstuettig	\N	SPI	2012	7	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1992	/N	N	\N
06-031	NW-FVA	Langenstuettig	\N	SPI	2012	23	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1992	/N	N	\N
